Colombia	0.0
Finland	0.0
France	0.0
Iraq	0.0
Nepal	0.0
Peru	0.0
South-Africa	0.36801175922982965
Sweden	0.0
Turkey	0.0
Belgium	0.0
Brazil	0.7444316272208186
Israel	0.8547187759587277
Nigeria	0.31314092863766824
Thailand	0.3455543129354902
Japan	3.4440401080944136
Malaysia	0.03407782456215395
Pakistan	1.9307135449826343
Taiwan	3.4625914230596875
Greece	3.4138408197794865
India	0.8821047800497447
Philippines	0.061526207171069436
South-Korea	3.38770270590352
Tunisia	0.5550199905043133
Viet-Nam	1.3105777333193853
Australia	0.29372731354927173
Italy	1.9286578214059564
Iran	0.8472779885435403
Spain	4.541006178430616
China	2.6658356784477104
USA	4.405305674941558
